Name,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,01/04/21,01/05/21,01/07/21,01/10/21,01/13/21,01/30/21,02/08/21,02/13/21,02/20/21,03/02/21,03/07/21,03/12/21,03/15/21,03/22/21,03/25/21,03/26/21,03/29/21,03/30/21,04/04/21,04/05/21,04/07/21,04/09/21,04/11/21,04/13/21,04/16/21,04/22/21,04/25/21,04/30/21,05/23/21,09/22/21,10/25/21,10/26/21,10/27/21,10/28/21,10/31/21,11/04/21,11/06/21,11/08/21,11/11/21,11/21/21,11/22/21,11/24/21,11/26/21,11/30/21,12/02/21,12/05/21,12/11/21,12/12/21,12/15/21,12/17/21,12/26/21,12/30/21,12/31/21,01/06/22,01/09/22,01/18/22,01/19/22,01/20/22,01/24/22,01/25/22,01/26/22,02/02/22,02/05/22,02/07/22,02/27/22,03/04/22,03/15/22,03/17/22,03/20/22,03/21/22,03/24/22,03/27/22,04/03/22,04/07/22,04/09/22,04/13/22,04/15/22,04/17/22,04/18/22,04/23/22,04/27/22,05/01/22,05/08/22,05/10/22,05/11/22,05/22/22,05/24/22,05/27/22,05/29/22,06/14/22,06/16/22,06/20/22,06/25/22,07/02/22,07/03/22,07/08/22,07/10/22,07/16/22,07/17/22,07/18/22,07/22/22,07/30/22,08/13/22,08/27/22,08/31/22,09/05/22,09/11/22,09/22/22,10/01/22,10/18/22,11/09/22,12/09/22,12/30/22,01/15/23,01/20/23,02/02/23,02/06/23,02/16/23,02/28/23,03/05/23,03/09/23,03/11/23,03/23/23,03/27/23,03/31/23,04/18/23,04/23/23,04/28/23,05/04/23,05/06/23,05/13/23,05/14/23,10/11/23
Athlon 3000G Picasso,,,,,,,,,,,,,,,,,,,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPYC 7351P Naples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPYC 7401P Naples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,1079.99,971.99,971.99,,777.59,777.59,777.59,,,,,
EPYC 7551P Naples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1169.99,1169.99,,935.99,935.99,935.99,,,,,
EPYC 7702P Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,5199.99,4679.99,4679.99,,3743.99,3743.99,3743.99,,,,,
Ryzen 3 3200G,139.99,139.99,139.99,139.99,99.99,99.99,99.99,99.99,139.99,139.99,139.99,139.99,139.99,,,,,,,,119.99,119.99,119.99,119.99,119.99,119.99,119.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,129.99,139.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryzen 3 3300X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryzen 5 3400G,169.99,169.99,169.99,169.99,169.99,169.99,169.99,,,179.99,179.99,179.99,,,,,,,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,,,,,,,179.99,,,179.99,179.99,,,,,,,179.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryzen 5 3600,249.99,249.99,249.99,249.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,179.99,179.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,219.99,219.99,219.99,219.99,219.99,199.99,249.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.99,119.99,119.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.99,129.99,129.98,149.98,114.98,112.98,111.98,113.98,116.98,112.98,107.98,106.98,103.98,103.98,105.98,100.98,,112.98,113.98,107.98,,,,,
Ryzen 5 3600X,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99,259.99,,229.99,,,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,229.99,249.99,,,,,249.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryzen 5 4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.99,119.99,119.99,119.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,109.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,89.99,74.99,74.99,74.99,84.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,,74.99,74.99,74.99,,,,,
Ryzen 5 4600G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,139.99,129.99,109.99,89.99,89.99,99.99,99.99,94.99,94.99,94.99,99.99,99.99,99.99,99.99,99.99,99.99,,94.99,94.99,94.99,,,,,
Ryzen 5 5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.99,159.99,159.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,94.99,89.99,89.99,89.99,89.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,89.99,89.99,,89.99,89.99,89.99,,,,,
Ryzen 5 5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.99,199.99,199.99,179.99,179.99,179.99,179.99,179.99,169.99,169.99,169.99,169.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,149.99,144.99,149.99,149.99,124.99,129.99,129.99,129.99,119.99,139.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,129.99,,129.99,129.99,129.99,,,,,
Ryzen 5 5600G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.99,219.99,219.99,219.99,219.99,219.99,219.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,219.99,219.99,239.99,229.99,229.99,219.99,219.99,219.99,229.99,239.99,239.99,239.99,219.99,219.99,219.99,219.99,219.99,219.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,189.99,189.99,189.99,179.99,179.99,179.99,179.99,179.99,179.99,169.99,169.99,169.99,169.99,159.99,159.99,159.99,159.99,159.99,159.99,159.99,159.99,159.99,159.99,159.99,159.99,139.99,159.99,159.99,159.99,154.99,144.99,149.99,149.99,139.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,119.99,,129.99,129.99,129.99,,,,,
Ryzen 5 5600X,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,279.99,279.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,349.99,349.99,369.99,289.99,,,349.99,279.99,259.99,289.99,289.99,289.99,289.99,289.99,289.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,249.99,249.99,249.99,269.99,269.99,249.99,249.99,269.99,269.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,239.99,239.99,239.99,229.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,209.99,199.99,199.99,199.99,199.99,189.99,189.99,189.99,189.99,189.99,189.99,169.99,169.99,169.99,169.99,169.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,149.99,159.99,159.99,169.99,159.99,159.99,159.99,159.99,156.98,154.98,154.98,154.98,154.98,154.98,,156.98,154.98,151.98,,,,,
Ryzen 5 7600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.99,229.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,,209.99,209.99,209.99,,,,,
Ryzen 5 7600X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.99,299.99,299.99,248.98,247.98,272.98,247.98,247.98,242.98,242.98,239.98,239.98,239.98,239.98,232.98,238.98,,246.98,247.98,241.98,,,,,
Ryzen 7 3700X,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,299.99,299.99,299.99,299.99,299.99,299.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.99,329.99,219.99,219.98,179.99,159.99,159.99,159.99,159.99,159.99,159.99,,,,,,,,,,,,,,,
