Name,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,01/04/21,01/05/21,01/07/21,01/10/21,01/13/21,01/30/21,02/08/21,02/13/21,02/20/21,03/02/21,03/07/21,03/12/21,03/15/21,03/22/21,03/25/21,03/26/21,03/29/21,03/30/21,04/04/21,04/05/21,04/07/21,04/09/21,04/11/21,04/13/21,04/16/21,04/22/21,04/25/21,04/30/21,05/23/21,09/22/21,10/25/21,10/26/21,10/27/21,10/28/21,10/31/21,11/04/21,11/06/21,11/08/21,11/11/21,11/21/21,11/22/21,11/24/21,11/26/21,11/30/21,12/02/21,12/05/21,12/11/21,12/12/21,12/15/21,12/17/21,12/26/21,12/30/21,12/31/21,01/06/22,01/09/22,01/18/22,01/19/22,01/20/22,01/24/22,01/25/22,01/26/22,02/02/22,02/05/22,02/07/22,02/27/22,03/04/22,03/15/22,03/17/22,03/20/22,03/21/22,03/24/22,03/27/22,04/03/22,04/07/22,04/09/22,04/13/22,04/15/22,04/17/22,04/18/22,04/23/22,04/27/22,05/01/22,05/08/22,05/10/22,05/11/22,05/22/22,05/24/22,05/27/22,05/29/22,06/14/22,06/16/22,06/20/22,06/25/22,07/02/22,07/03/22,07/08/22,07/10/22,07/16/22,07/17/22,07/18/22,07/22/22,07/30/22,08/13/22,08/27/22,08/31/22,09/05/22,09/11/22,09/22/22,10/01/22,10/18/22,11/09/22,12/09/22,12/30/22,01/15/23,01/20/23,02/02/23,02/06/23,02/16/23,02/28/23,03/05/23,03/09/23,03/11/23,03/23/23,03/27/23,03/31/23,04/18/23,04/23/23,04/28/23,05/04/23,05/06/23,05/13/23,05/14/23,10/11/23
Ryzen 7 3800X,339.99,339.99,339.99,339.99,319.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,349.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,329.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.99,399.99,299.99,299.99,,,,269.99,269.99,269.99,269.99,249.99,219.99,219.99,199.99,199.99,199.99,199.99,199.99,199.99,199.99,,,,,,,,,,,,,,,,,,,,,,,
Ryzen 7 3800XT,349.99,349.99,349.99,349.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryzen 7 5700G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.99,299.99,319.99,319.99,319.99,319.99,319.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,279.99,299.99,299.99,269.99,269.99,299.99,329.99,329.99,329.99,299.99,279.99,279.99,279.99,279.99,279.99,279.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,259.99,219.99,259.99,259.99,259.99,259.99,239.99,239.99,239.99,219.99,179.99,169.99,169.99,179.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,169.99,,179.99,179.99,179.99,,,,,
Ryzen 7 5700X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.99,299.99,299.99,279.99,279.99,279.99,279.99,279.99,259.99,259.99,259.99,259.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,249.99,239.99,239.99,239.99,239.99,234.99,229.99,239.99,239.99,199.99,189.99,189.99,189.99,189.99,189.99,189.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,179.99,,179.99,179.99,179.99,,,,,
Ryzen 7 5800X,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,429.99,399.99,349.99,369.99,369.99,369.99,369.99,369.99,369.99,299.99,329.99,329.99,329.99,299.99,299.99,299.99,329.99,329.99,349.99,369.99,369.99,329.99,299.99,329.99,369.99,379.99,359.99,359.99,329.99,329.99,329.99,329.99,329.99,329.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,269.99,269.99,269.99,269.99,269.99,279.99,279.99,279.99,279.99,279.99,239.99,239.99,249.99,249.99,249.99,199.99,229.99,219.99,219.99,219.99,219.99,219.99,219.99,224.98,214.98,211.98,199.99,199.99,199.99,,199.99,199.99,199.99,,,,,
Ryzen 7 5800X3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,419.99,419.99,419.99,419.99,419.99,419.99,399.99,419.99,399.99,399.99,379.99,379.99,399.99,399.99,389.99,399.99,339.99,319.99,329.99,329.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,299.99,,299.99,299.99,299.99,,,,,
Ryzen 7 7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.99,329.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,,309.99,309.99,309.99,,,,,
Ryzen 7 7700X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.99,399.99,399.99,348.98,343.98,343.98,347.98,343.98,338.98,340.98,337.98,339.98,336.98,336.98,336.98,336.98,,342.98,342.98,337.98,,,,,
Ryzen 7 7800X3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.99,449.99,449.99,,,,,
Ryzen 9 3900X,529.99,529.99,529.99,529.99,549.99,549.99,549.99,499.99,469.99,469.99,469.99,469.99,469.99,469.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,449.99,479.99,479.99,479.99,479.99,529.99,369.99,419.99,419.99,419.99,419.99,419.99,,,,419.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.99,369.99,,369.99,369.99,369.99,369.99,369.99,349.99,349.99,299.99,269.99,269.99,269.99,269.99,269.99,269.99,269.99,249.99,,,,,,,,,,,,,,,,,,,,,,
Ryzen 9 3900XT,,,,549.99,569.99,569.99,569.99,519.99,499.99,499.99,499.99,499.99,499.99,499.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryzen 9 3950X,679.99,679.99,679.99,679.99,679.99,649.99,649.99,649.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,679.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,499.99,399.99,399.99,399.99,,,,,,,,,,,,,,,,,,,
Ryzen 9 5900X,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,,549.99,,549.99,529.99,549.99,549.99,549.99,549.99,549.99,519.99,499.99,499.99,499.99,499.99,499.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,449.99,449.99,469.99,519.99,519.99,519.99,519.99,499.99,499.99,499.99,499.99,499.99,499.99,449.99,449.99,449.99,449.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,369.99,339.99,339.99,339.99,369.99,349.99,359.99,349.99,349.99,349.99,369.99,369.99,369.99,369.99,339.99,329.99,329.99,329.99,329.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,319.99,,319.99,319.99,319.99,,,,,
Ryzen 9 5950X,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,799.99,,,,,799.99,799.99,799.99,799.99,799.99,799.99,799.99,,799.99,,799.99,739.99,719.99,719.99,719.99,719.99,719.99,719.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,699.99,669.99,669.99,669.99,749.99,749.99,719.99,699.99,679.99,679.99,679.99,679.99,679.99,679.99,649.99,649.99,649.99,629.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,549.99,519.99,519.99,519.99,519.99,519.99,569.99,569.99,569.99,569.99,549.99,549.99,549.99,549.99,519.99,519.99,519.99,519.99,519.99,519.99,519.99,519.99,519.99,519.99,519.99,519.99,479.99,519.99,499.99,499.99,499.99,499.99,519.99,519.99,519.99,529.99,449.99,479.99,499.99,479.99,469.99,469.99,469.99,469.99,469.99,469.99,469.99,449.99,449.99,,449.99,449.99,449.99,,,,,
Ryzen 9 7900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.99,429.99,429.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,399.99,,399.99,399.99,399.99,,,,,
Ryzen 9 7900X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.99,549.99,549.99,439.98,438.98,519.98,417.98,417.98,417.98,417.98,446.98,446.98,446.98,439.98,430.98,430.98,,417.98,417.98,417.98,,,,,
Ryzen 9 7900X3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.99,599.99,599.99,599.99,549.99,549.99,,549.99,549.99,549.99,,,,,
Ryzen 9 7950X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.99,699.99,699.99,573.98,567.98,599.98,587.98,587.98,587.98,587.98,587.98,587.98,587.98,572.98,557.98,567.98,,589.98,579.98,573.98,,,,,
Ryzen 9 7950X3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.99,699.99,699.99,699.99,699.99,699.99,,699.99,679.99,679.99,,,,,
Ryzen Threadripper 3960X,1399.99,1399.99,1399.99,1399.99,1399.99,1599.99,1599.99,1599.99,1599.99,1599.99,1399.99,1399.99,1399.99,1399.99,1599.99,1599.99,1499.99,1499.99,1399.99,1399.99,1399.99,1399.99,1399.99,1399.99,1399.99,1399.99,1399.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1299.99,1249.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryzen Threadripper 3970X,1999.99,1999.99,1999.99,1999.99,1999.99,2199.99,2199.99,2199.99,2199.99,2199.99,2199.99,2199.99,1999.99,1999.99,2199.99,2199.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,1899.99,2199.99,2199.99,2199.99,2199.99,2199.99,2199.99,2199.99,2199.99,2199.99,2199.99,2199.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryzen Threadripper 3990X,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,4999.99,3899.99,3899.99,3899.99,3999.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3799.99,3999.99,3999.99,3999.99,4499.99,4899.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryzen Threadripper PRO,,,,,,,,,,,,,,,,,2749.99,5489.99,5489.99,5489.99,5489.99,5489.99,5489.99,5489.99,5489.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,5399.99,,,,,,,,,,,,,,,,,,,,,,,3299.99,3299.99,3299.99,3299.99,3299.99,3299.99,3299.99,3299.99,6499.99,6499.99,6499.99,6499.99,6499.99,6499.99,6499.99,6499.99,6499.99,6499.99,6499.99,6499.99,6499.99,6499.99,,6499.99,6499.99,5699.99,,,,,
